date,nav,day_change,fund_code,fund_name
2020-02-12,78.395,0.01120000000000232,119533,HDFC Mid-Cap Opportunities Fund
2020-02-13,78.4479,0.05290000000000816,119533,HDFC Mid-Cap Opportunities Fund
2020-02-14,78.4917,0.04379999999999029,119533,HDFC Mid-Cap Opportunities Fund
2020-02-17,78.5405,0.048799999999999955,119533,HDFC Mid-Cap Opportunities Fund
2020-02-18,78.526,-0.014499999999998181,119533,HDFC Mid-Cap Opportunities Fund
2020-02-20,78.5145,-0.011499999999998067,119533,HDFC Mid-Cap Opportunities Fund
2020-02-24,78.6028,0.08830000000000382,119533,HDFC Mid-Cap Opportunities Fund
2020-02-25,78.5854,-0.017399999999994975,119533,HDFC Mid-Cap Opportunities Fund
2020-02-26,78.6478,0.06239999999999668,119533,HDFC Mid-Cap Opportunities Fund
2020-02-27,78.6165,-0.03130000000000166,119533,HDFC Mid-Cap Opportunities Fund
2020-02-28,78.5705,-0.04600000000000648,119533,HDFC Mid-Cap Opportunities Fund
2020-03-02,78.6272,0.05670000000000641,119533,HDFC Mid-Cap Opportunities Fund
2020-03-03,78.6527,0.02549999999999386,119533,HDFC Mid-Cap Opportunities Fund
2020-03-04,78.8535,0.20080000000000098,119533,HDFC Mid-Cap Opportunities Fund
2020-03-05,78.8634,0.009900000000001796,119533,HDFC Mid-Cap Opportunities Fund
2020-03-06,78.915,0.05160000000000764,119533,HDFC Mid-Cap Opportunities Fund
2020-03-09,78.964,0.04899999999999238,119533,HDFC Mid-Cap Opportunities Fund
2020-03-11,78.8463,-0.11769999999999925,119533,HDFC Mid-Cap Opportunities Fund
2020-03-12,78.5103,-0.3359999999999985,119533,HDFC Mid-Cap Opportunities Fund
2020-03-13,78.1912,-0.31910000000000593,119533,HDFC Mid-Cap Opportunities Fund
2020-03-16,78.2436,0.052400000000005775,119533,HDFC Mid-Cap Opportunities Fund
2020-03-17,78.0,-0.2436000000000007,119533,HDFC Mid-Cap Opportunities Fund
2020-03-18,77.7366,-0.2634000000000043,119533,HDFC Mid-Cap Opportunities Fund
2020-03-19,77.1792,-0.5574000000000012,119533,HDFC Mid-Cap Opportunities Fund
2020-03-20,77.4867,0.30750000000000455,119533,HDFC Mid-Cap Opportunities Fund
2020-03-23,77.0986,-0.38809999999999434,119533,HDFC Mid-Cap Opportunities Fund
2020-03-24,77.0866,-0.012000000000000455,119533,HDFC Mid-Cap Opportunities Fund
2020-03-26,77.2117,0.1250999999999891,119533,HDFC Mid-Cap Opportunities Fund
2020-03-27,78.7952,1.5835000000000008,119533,HDFC Mid-Cap Opportunities Fund
2020-03-30,78.7258,-0.06939999999998747,119533,HDFC Mid-Cap Opportunities Fund
2020-03-31,78.884,0.15819999999999368,119533,HDFC Mid-Cap Opportunities Fund
2020-04-03,78.8073,-0.07670000000000243,119533,HDFC Mid-Cap Opportunities Fund
2020-04-07,78.5213,-0.28600000000000136,119533,HDFC Mid-Cap Opportunities Fund
2020-04-08,78.3517,-0.16960000000000264,119533,HDFC Mid-Cap Opportunities Fund
2020-04-09,78.3829,0.03120000000001255,119533,HDFC Mid-Cap Opportunities Fund
2020-04-13,78.4676,0.084699999999998,119533,HDFC Mid-Cap Opportunities Fund
2020-04-15,78.6316,0.16400000000000148,119533,HDFC Mid-Cap Opportunities Fund
2020-04-16,78.803,0.17139999999999134,119533,HDFC Mid-Cap Opportunities Fund
2020-04-17,79.1993,0.39629999999999654,119533,HDFC Mid-Cap Opportunities Fund
2020-04-20,79.6055,0.40620000000001255,119533,HDFC Mid-Cap Opportunities Fund
2020-04-21,79.7453,0.13979999999999393,119533,HDFC Mid-Cap Opportunities Fund
2020-04-22,79.7729,0.02760000000000673,119533,HDFC Mid-Cap Opportunities Fund
2020-04-23,80.061,0.2881,119533,HDFC Mid-Cap Opportunities Fund
2020-04-24,79.6727,-0.388300000000001,119533,HDFC Mid-Cap Opportunities Fund
2020-04-27,79.669,-0.0037000000000091404,119533,HDFC Mid-Cap Opportunities Fund
2020-04-28,79.634,-0.03499999999999659,119533,HDFC Mid-Cap Opportunities Fund
2020-04-29,79.6398,0.005799999999993588,119533,HDFC Mid-Cap Opportunities Fund
2020-04-30,79.7096,0.06980000000000075,119533,HDFC Mid-Cap Opportunities Fund
2020-05-04,79.8884,0.17880000000000962,119533,HDFC Mid-Cap Opportunities Fund
2020-05-05,80.0631,0.1747000000000014,119533,HDFC Mid-Cap Opportunities Fund
2020-05-06,80.2433,0.18019999999999925,119533,HDFC Mid-Cap Opportunities Fund
2020-05-08,80.4224,0.17909999999999116,119533,HDFC Mid-Cap Opportunities Fund
2020-05-11,80.2014,-0.22099999999998943,119533,HDFC Mid-Cap Opportunities Fund
2020-05-12,80.338,0.13659999999998718,119533,HDFC Mid-Cap Opportunities Fund
2020-05-13,80.4521,0.11410000000000764,119533,HDFC Mid-Cap Opportunities Fund
2020-05-14,80.566,0.113900000000001,119533,HDFC Mid-Cap Opportunities Fund
2020-05-15,80.5839,0.017899999999997362,119533,HDFC Mid-Cap Opportunities Fund
2020-05-18,80.6874,0.10349999999999682,119533,HDFC Mid-Cap Opportunities Fund
2020-05-19,80.7646,0.07720000000000482,119533,HDFC Mid-Cap Opportunities Fund
2020-05-20,80.8191,0.054500000000004434,119533,HDFC Mid-Cap Opportunities Fund
2020-05-21,80.9045,0.08539999999999281,119533,HDFC Mid-Cap Opportunities Fund
2020-05-22,81.2366,0.33209999999999695,119533,HDFC Mid-Cap Opportunities Fund
2020-05-26,81.2781,0.041499999999999204,119533,HDFC Mid-Cap Opportunities Fund
2020-05-27,81.285,0.0069000000000016826,119533,HDFC Mid-Cap Opportunities Fund
2020-05-28,81.2916,0.0066000000000059345,119533,HDFC Mid-Cap Opportunities Fund
2020-05-29,81.2678,-0.02380000000000848,119533,HDFC Mid-Cap Opportunities Fund
2020-06-01,81.2454,-0.022399999999990428,119533,HDFC Mid-Cap Opportunities Fund
2020-06-02,81.2298,-0.015600000000006276,119533,HDFC Mid-Cap Opportunities Fund
2020-06-03,81.3079,0.07810000000000628,119533,HDFC Mid-Cap Opportunities Fund
2020-06-04,81.3517,0.04379999999999029,119533,HDFC Mid-Cap Opportunities Fund
